x,p,n,phi
0.000000000000000000e+00,1.544836940096185662e+00,9.930104686302201333e-01,1.000000000000000000e+00
4.016064257028112081e-03,1.504345473597239025e+00,1.018585112048639552e+00,1.021459977900778471e+00
8.032128514056224161e-03,1.468920690967324250e+00,1.041568094233262354e+00,1.039786068531683316e+00
1.204819277108433624e-02,1.438491984936463020e+00,1.061921307994273089e+00,1.055355090104127536e+00
1.606425702811244832e-02,1.411559351445342392e+00,1.080086490541941613e+00,1.068494662622897273e+00
2.008032128514056214e-02,1.388351774794235771e+00,1.096027420988546108e+00,1.079495735047130367e+00
2.409638554216867248e-02,1.367566716215080858e+00,1.110166538681629289e+00,1.088610874316700228e+00
2.811244979919678283e-02,1.349627403600778486e+00,1.122454630502075057e+00,1.096065394063788556e+00
3.212851405622489664e-02,1.333358834508556523e+00,1.133288310075420968e+00,1.102054306655516625e+00
3.614457831325301046e-02,1.319313449476989586e+00,1.142598288732106449e+00,1.106752462488914013e+00
4.016064257028112428e-02,1.306402019242371537e+00,1.150753995423371423e+00,1.110310538899431876e+00
4.417670682730923115e-02,1.295264478701371846e+00,1.157663812109039680e+00,1.112864450707320652e+00
4.819277108433734497e-02,1.284871627342912603e+00,1.163671571380557879e+00,1.114530630597386773e+00
5.220883534136545878e-02,1.275923238117967262e+00,1.168663811128059837e+00,1.115414887254199350e+00
5.622489959839356566e-02,1.267433803004705650e+00,1.172961799411265549e+00,1.115607158768901819e+00
6.024096385542167947e-02,1.260144082639828689e+00,1.176432088997535041e+00,1.115189943316662324e+00
6.425702811244979329e-02,1.253101613478035947e+00,1.179376922523876159e+00,1.114232659196870534e+00
6.827309236947790017e-02,1.247074993767804951e+00,1.181645266387478133e+00,1.112799739581173064e+00
7.228915662650602092e-02,1.241137688765977076e+00,1.183523849028488062e+00,1.110944699500448607e+00
7.630522088353412780e-02,1.236076783212685326e+00,1.184846515237342635e+00,1.108717963222969338e+00
8.032128514056224855e-02,1.230986804626344799e+00,1.185887689491537555e+00,1.106160714418432001e+00
8.433734939759035543e-02,1.226666569897289394e+00,1.186468381273441786e+00,1.103312508273627035e+00
8.835341365461846230e-02,1.222228268563280595e+00,1.186853507452647616e+00,1.100204963159296723e+00
9.236947791164658306e-02,1.218477509484526156e+00,1.186853243752481468e+00,1.096869197460713652e+00
9.638554216867468993e-02,1.214541721428786802e+00,1.186725360470856083e+00,1.093329407531992148e+00
1.004016064257027968e-01,1.211229656179439784e+00,1.186270888546390401e+00,1.089610160104469427e+00
1.044176706827309176e-01,1.207682224233520785e+00,1.185742403719730609e+00,1.085729890966761202e+00
1.084337349397590244e-01,1.204708604588821341e+00,1.184933181910142741e+00,1.081708076882914815e+00
1.124497991967871313e-01,1.201461893574762074e+00,1.184092194985392643e+00,1.077558681484710901e+00
1.164658634538152521e-01,1.198749665199674297e+00,1.183006086741419827e+00,1.073297225322394244e+00
1.204819277108433589e-01,1.195736231645429637e+00,1.181921508611957661e+00,1.068934199324376610e+00
1.244979919678714797e-01,1.193226035656741013e+00,1.180619367009930754e+00,1.064482047518494623e+00
1.285140562248995866e-01,1.190393869013896877e+00,1.179345021660420434e+00,1.059948563678311029e+00
1.325301204819276935e-01,1.188039894704824073e+00,1.177874346570534803e+00,1.055343798101681330e+00
1.365461847389558003e-01,1.185348817771816332e+00,1.176452231008966454e+00,1.050673449401332560e+00
1.405622489959839350e-01,1.183115657059590431e+00,1.174850066658615022e+00,1.045945704292778222e+00
1.445783132530120418e-01,1.180534589531058831e+00,1.173312926711777449e+00,1.041164633654629412e+00
1.485943775100401487e-01,1.178394840395934340e+00,1.171608145830083991e+00,1.036336972394914513e+00
1.526104417670682556e-01,1.175899710074508109e+00,1.169981502530630380e+00,1.031465526715168668e+00
1.566265060240963625e-01,1.173832143950497509e+00,1.168196600179894462e+00,1.026555899667097593e+00
1.606425702811244971e-01,1.171404287039984782e+00,1.166500338783137636e+00,1.021609914858534918e+00
1.646586345381526040e-01,1.169392443268641779e+00,1.164652837205367275e+00,1.016632292184409758e+00
1.686746987951807109e-01,1.167017375917874356e+00,1.162902450258296083e+00,1.011624091899838040e+00
1.726907630522088177e-01,1.165048481116936152e+00,1.161005996827717546e+00,1.006589344135970121e+00
1.767068273092369246e-01,1.162714953966409670e+00,1.159213554901744159e+00,1.001528516248948009e+00
1.807228915662650315e-01,1.160779089540021847e+00,1.157278778940906028e+00,9.964450990548846532e-01
1.847389558232931661e-01,1.158478358745684611e+00,1.155453687731682333e+00,9.913390995760251734e-01
1.887550200803212730e-01,1.156567818492593380e+00,1.153488868434116910e+00,9.862135864053607204e-01
1.927710843373493799e-01,1.154293082806453263e+00,1.151638458714979274e+00,9.810682093611556853e-01
1.967871485943774867e-01,1.152401876529991043e+00,1.149650045430455236e+00,9.759057059861400152e-01
2.008032128514055936e-01,1.150147842055281311e+00,1.147780032481396928e+00,9.707254491484412773e-01
2.048192771084337283e-01,1.148271311542132800e+00,1.145773049798352483e+00,9.655299163663294548e-01
2.088353413654618351e-01,1.146033854839582533e+00,1.143887891050582972e+00,9.603182660264764081e-01
