x,p,n,phi
0.000000000000000000e+00,5.748991167205378394e-01,9.985187640224082450e-01,1.000000000000000000e+00
4.016064257028112081e-03,6.829171556727896553e-01,9.211132553181652360e-01,9.128820298631312724e-01
8.032128514056224161e-03,7.523716462016412088e-01,8.814472851774145523e-01,8.641821658286438224e-01
1.204819277108433624e-02,7.901203937841393410e-01,8.616429057801481273e-01,8.363006174625768896e-01
1.606425702811244832e-02,8.142294492301169750e-01,8.513711936192904783e-01,8.199547720683989516e-01
2.008032128514056214e-02,8.255700450970401283e-01,8.469424158490647114e-01,8.095994339868730627e-01
2.409638554216867248e-02,8.347019018079783192e-01,8.447820680578957964e-01,8.026911968798514652e-01
2.811244979919678283e-02,8.378890627253906542e-01,8.446760873401093495e-01,7.974087668162513909e-01
3.212851405622489664e-02,8.425397212539753600e-01,8.448149481358837587e-01,7.932210004862552122e-01
3.614457831325301046e-02,8.433520049867015977e-01,8.459424591606886645e-01,7.894002003151772140e-01
4.016064257028112428e-02,8.466919914915319589e-01,8.467361643722727260e-01,7.859972085946059783e-01
4.417670682730923115e-02,8.468329552337818811e-01,8.482177479689941846e-01,7.826013414173067506e-01
4.819277108433734497e-02,8.497845115373803271e-01,8.491968727555276875e-01,7.794288243045568443e-01
5.220883534136545878e-02,8.497457336572166176e-01,8.507812072982585683e-01,7.761615282718131725e-01
5.622489959839356566e-02,8.525740357990285734e-01,8.518115814174989087e-01,7.730612414229603990e-01
6.024096385542167947e-02,8.524961912097526184e-01,8.534268641960728319e-01,7.698379800444179466e-01
6.425702811244979329e-02,8.552772496799855295e-01,8.544701788291767519e-01,7.667648247909897297e-01
6.827309236947790017e-02,8.552003257254925384e-01,8.560959267601938594e-01,7.635614989192153201e-01
7.228915662650602092e-02,8.579559960493037263e-01,8.571412614666904517e-01,7.605026224974016369e-01
7.630522088353412780e-02,8.578912049866203038e-01,8.587716427930385255e-01,7.573123393914032997e-01
8.032128514056224855e-02,8.606278831733780166e-01,8.598158894954809339e-01,7.542640600928304240e-01
8.433734939759035543e-02,8.605782367035852420e-01,8.614492479010578130e-01,7.510848161843484139e-01
8.835341365461846230e-02,8.632979131948571583e-01,8.624915227903043879e-01,7.480460556870165423e-01
9.236947791164658306e-02,8.632640931310420207e-01,8.641273896788095321e-01,7.448772343189644651e-01
9.638554216867468993e-02,8.659675032123413940e-01,8.651674409781564545e-01,7.418476520837921084e-01
1.004016064257027968e-01,8.659495329383835038e-01,8.668056849810328313e-01,7.386890296340772322e-01
1.044176706827309176e-01,8.686370528186282414e-01,8.678434401332211223e-01,7.356684939962927494e-01
1.084337349397590244e-01,8.686347721757687879e-01,8.694840254725749729e-01,7.325199583769906875e-01
1.124497991967871313e-01,8.713066734041011729e-01,8.705194626147322312e-01,7.295083968866229451e-01
1.164658634538152521e-01,8.713198733036486843e-01,8.721623805831931753e-01,7.263698679619607912e-01
1.204819277108433589e-01,8.739763949080414651e-01,8.731954921378672907e-01,7.233672251164818823e-01
1.244979919678714797e-01,8.740048553705899170e-01,8.748407417057079138e-01,7.202386322427494214e-01
1.285140562248995866e-01,8.766462243164919732e-01,8.758715240872990693e-01,7.172448575711617424e-01
1.325301204819276935e-01,8.766897251569990557e-01,8.775191064238897498e-01,7.141261332650208349e-01
1.365461847389558003e-01,8.793161621809784112e-01,8.785475571345650048e-01,7.111411779733943783e-01
1.405622489959839350e-01,8.793744859619426757e-01,8.801974740631669514e-01,7.080322561253553637e-01
1.445783132530120418e-01,8.819862072735740188e-01,8.812235908756086422e-01,7.050560721527093788e-01
1.485943775100401487e-01,8.820591400779578262e-01,8.828758444379092296e-01,7.019568875191118940e-01
1.526104417670682556e-01,8.846563578956992968e-01,8.838996251662472048e-01,6.989894272705970968e-01
1.566265060240963625e-01,8.847436894872270363e-01,8.855542174994025517e-01,6.958999153246174796e-01
1.606425702811244971e-01,8.873266122449082749e-01,8.865756599355980594e-01,6.929411315946627514e-01
1.646586345381526040e-01,8.874281360575155819e-01,8.882325932371176735e-01,6.898612284780352155e-01
1.686746987951807109e-01,8.899969685170125988e-01,8.892516951337903208e-01,6.869110744266812008e-01
1.726907630522088177e-01,8.901124815976733107e-01,8.909109716510758004e-01,6.838407169297017196e-01
1.767068273092369246e-01,8.926674249340019740e-01,8.919277307173306690e-01,6.808991460738090806e-01
1.807228915662650315e-01,8.927967278737760637e-01,8.935893527441299833e-01,6.778382716233500860e-01
1.847389558232931661e-01,8.953379797512129867e-01,8.946037666450086245e-01,6.749052378319697620e-01
1.887550200803212730e-01,8.954808766142442478e-01,8.962677365198153945e-01,6.718537844818397442e-01
1.927710843373493799e-01,8.980086312587167718e-01,8.972798028767458023e-01,6.689292419727560501e-01
1.967871485943774867e-01,8.981649295118694365e-01,8.989461229817542476e-01,6.658871483948232139e-01
2.008032128514055936e-01,9.006793777811117341e-01,8.999558393732658423e-01,6.629710517314377771e-01
2.048192771084337283e-01,9.008488882249632290e-01,9.016245121334919288e-01,6.599382572070748854e-01
2.088353413654618351e-01,9.033502176768868352e-01,9.026318760959941567e-01,6.570305612954002727e-01
2.128514056224899420e-01,9.035327543782465387e-01,9.043029039784555856e-01,6.540070057071248888e-01
2.168674698795180489e-01,9.060211493376817415e-01,9.053079130070196268e-01,6.511076657928239753e-01
2.208835341365461558e-01,9.062165295636529505e-01,9.069812985199436906e-01,6.480932896160979118e-01
2.248995983935742626e-01,9.086921711875324270e-01,9.079839500690759513e-01,6.452022612815503377e-01
2.289156626506023973e-01,9.089002153410925544e-01,9.096596957611269296e-01,6.421970055767253216e-01
2.329317269076305041e-01,9.113632816821269911e-01,9.106599872455272138e-01,6.393142447381178206e-01
2.369477911646586110e-01,9.115838132391913540e-01,9.123380957050499784e-01,6.363180511425224894e-01
2.409638554216867179e-01,9.140344793080787955e-01,9.133360245003553368e-01,6.334435140469609760e-01
2.449799196787148248e-01,9.142673247560109129e-01,9.150164983546344999e-01,6.304563247671244319e-01
2.489959839357429594e-01,9.167057625822173650e-01,9.160120617981477587e-01,6.275899679897674055e-01
2.530120481927710663e-01,9.169507513597483506e-01,9.176949037126818087e-01,6.246117257937768841e-01
2.570281124497991732e-01,9.193771300508980504e-01,9.186880991040857758e-01,6.217535062349911490e-01
2.610441767068272800e-01,9.196340944894175751e-01,9.203733117818769793e-01,6.187841544449813602e-01
2.650602409638553869e-01,9.220485802893273464e-01,9.213641363839339959e-01,6.159340293275187284e-01
2.690763052208834938e-01,9.223173555555139735e-01,9.230517225647907331e-01,6.129735118122894288e-01
2.730923694779116007e-01,9.247201119009088588e-01,9.240401736040280145e-01,6.101314386784856270e-01
2.771084337349397075e-01,9.250005359406625605e-01,9.257301360638827692e-01,6.071796998462446471e-01
2.811244979919678699e-01,9.273917235166029283e-01,9.267162107312646446e-01,6.043456365552400955e-01
2.851405622489959768e-01,9.276836370002478072e-01,9.284085522815042069e-01,6.014026213464700454e-01
2.891566265060240837e-01,9.300634137943045721e-01,9.293922477330905929e-01,5.985765260714520641e-01
2.931726907630521906e-01,9.303666600630287054e-01,9.310869712199008053e-01,5.956421799518970550e-01
2.971887550200802974e-01,9.327351814182351930e-01,9.320682845774925784e-01,5.928240111773642740e-01
3.012048192771084043e-01,9.330496064317377325e-01,9.337653928812157389e-01,5.898982801311353219e-01
3.052208835341365112e-01,9.354070250983529400e-01,9.347443212329866746e-01,5.870879966501840741e-01
3.092369477911646181e-01,9.357324773836652732e-01,9.364438172674914851e-01,5.841708271729801893e-01
3.132530120481927249e-01,9.380789435697741707e-01,9.374203576686089834e-01,5.813683880846129970e-01
3.172690763052208318e-01,9.384152741712284973e-01,9.391222443806727105e-01,5.784597271770548499e-01
3.212851405622489942e-01,9.407509355922125671e-01,9.400963938539054210e-01,5.756650918835101161e-01
3.253012048192771011e-01,9.410979980225261388e-01,9.418006742226089356e-01,5.727648870445858353e-01
3.293172690763052080e-01,9.434229999494311292e-01,9.427724297589221703e-01,5.699780152486902951e-01
3.333333333333333148e-01,9.437806501418797289e-01,9.444791067950565333e-01,5.670862144693091800e-01
3.373493975903614217e-01,9.460951354487068254e-01,9.454484653541971317e-01,5.643070661718520009e-01
3.413654618473895286e-01,9.464632317103605086e-01,9.471575420996816153e-01,5.614236179285053696e-01
3.453815261044176355e-01,9.487673409203110086e-01,9.481245006107499318e-01,5.586521534256341237e-01
3.493975903614457423e-01,9.491457438863041274e-01,9.498359801380616974e-01,5.557770066741601900e-01
3.534136546184738492e-01,9.514396152170012666e-01,9.508005355000733738e-01,5.530131865547982528e-01
3.574297188755019561e-01,9.518281878058120204e-01,9.525144209116883642e-01,5.501462907242496980e-01
3.614457831325300630e-01,9.541119572135259297e-01,9.534765699941245565e-01,5.473900758675365186e-01
3.654618473895582254e-01,9.545105645832401287e-01,9.551928644219689346e-01,5.445313808541483169e-01
