x,p,n,phi
0.000000000000000000e+00,9.999999999999957812e-01,1.000000000000001998e+00,1.000000000000000000e+00
4.016064257028112081e-03,9.999999999999962252e-01,1.000000000000001776e+00,9.959839357429716156e-01
8.032128514056224161e-03,9.999999999999965583e-01,1.000000000000001554e+00,9.919678714859433422e-01
1.204819277108433624e-02,9.999999999999970024e-01,1.000000000000001332e+00,9.879518072289149577e-01
1.606425702811244832e-02,9.999999999999973355e-01,1.000000000000001110e+00,9.839357429718866843e-01
2.008032128514056214e-02,9.999999999999973355e-01,1.000000000000001110e+00,9.799196787148585219e-01
2.409638554216867248e-02,9.999999999999974465e-01,1.000000000000001110e+00,9.759036144578303595e-01
2.811244979919678283e-02,9.999999999999974465e-01,1.000000000000001110e+00,9.718875502008021972e-01
3.212851405622489664e-02,9.999999999999977796e-01,1.000000000000000888e+00,9.678714859437739237e-01
3.614457831325301046e-02,9.999999999999980016e-01,1.000000000000000666e+00,9.638554216867456503e-01
4.016064257028112428e-02,9.999999999999985567e-01,1.000000000000000444e+00,9.598393574297173769e-01
4.417670682730923115e-02,9.999999999999988898e-01,1.000000000000000222e+00,9.558232931726891035e-01
4.819277108433734497e-02,9.999999999999990008e-01,1.000000000000000222e+00,9.518072289156609411e-01
5.220883534136545878e-02,9.999999999999994449e-01,1.000000000000000000e+00,9.477911646586325567e-01
5.622489959839356566e-02,1.000000000000000000e+00,9.999999999999997780e-01,9.437751004016041723e-01
6.024096385542167947e-02,1.000000000000000222e+00,9.999999999999995559e-01,9.397590361445758989e-01
6.425702811244979329e-02,1.000000000000000444e+00,9.999999999999995559e-01,9.357429718875477365e-01
6.827309236947790017e-02,1.000000000000000222e+00,9.999999999999996669e-01,9.317269076305196851e-01
7.228915662650602092e-02,1.000000000000000222e+00,9.999999999999996669e-01,9.277108433734916337e-01
7.630522088353412780e-02,1.000000000000000000e+00,9.999999999999997780e-01,9.236947791164635824e-01
8.032128514056224855e-02,9.999999999999996669e-01,1.000000000000000000e+00,9.196787148594356420e-01
8.433734939759035543e-02,9.999999999999994449e-01,1.000000000000000000e+00,9.156626506024075907e-01
8.835341365461846230e-02,9.999999999999994449e-01,1.000000000000000000e+00,9.116465863453795393e-01
9.236947791164658306e-02,9.999999999999992228e-01,1.000000000000000222e+00,9.076305220883514879e-01
9.638554216867468993e-02,9.999999999999991118e-01,1.000000000000000222e+00,9.036144578313234366e-01
1.004016064257027968e-01,9.999999999999990008e-01,1.000000000000000222e+00,8.995983935742953852e-01
1.044176706827309176e-01,9.999999999999988898e-01,1.000000000000000222e+00,8.955823293172673338e-01
1.084337349397590244e-01,9.999999999999987788e-01,1.000000000000000444e+00,8.915662650602392825e-01
1.124497991967871313e-01,9.999999999999986677e-01,1.000000000000000444e+00,8.875502008032112311e-01
1.164658634538152521e-01,9.999999999999984457e-01,1.000000000000000444e+00,8.835341365461831797e-01
1.204819277108433589e-01,9.999999999999984457e-01,1.000000000000000444e+00,8.795180722891551284e-01
1.244979919678714797e-01,9.999999999999984457e-01,1.000000000000000444e+00,8.755020080321269660e-01
1.285140562248995866e-01,9.999999999999986677e-01,1.000000000000000444e+00,8.714859437750988036e-01
