x,p,n,phi
0.000000000000000000e+00,5.992302798296438304e-01,1.004376204425457830e+00,1.000000000000000000e+00
4.016064257028112081e-03,6.296087817530970909e-01,9.872377420694979921e-01,9.786865486145431836e-01
8.032128514056224161e-03,6.593228519842725399e-01,9.726032464241516351e-01,9.596803436303792401e-01
1.204819277108433624e-02,6.847341423456572151e-01,9.602646360457349761e-01,9.426952698824203614e-01
1.606425702811244832e-02,7.093886300015272983e-01,9.497219979512435684e-01,9.274877835520842773e-01
2.008032128514056214e-02,7.300982441211567586e-01,9.408835521181114769e-01,9.138308100712165816e-01
2.409638554216867248e-02,7.501714219405180017e-01,9.333343748358537972e-01,9.015337198696312671e-01
2.811244979919678283e-02,7.667241590755611291e-01,9.270639867886083518e-01,8.904183070790252508e-01
3.212851405622489664e-02,7.828625218650572259e-01,9.217160918954075965e-01,8.803373281053772370e-01
3.614457831325301046e-02,7.959081257272201393e-01,9.173382013520479106e-01,8.711521641671664540e-01
4.016064257028112428e-02,8.087909840385472116e-01,9.136150662353846874e-01,8.627504074360962116e-01
4.417670682730923115e-02,8.189745675509725320e-01,9.106362404540825350e-01,8.550249241986589421e-01
4.819277108433734497e-02,8.292356559682982908e-01,9.081154950172537488e-01,8.478907970548532624e-01
5.220883534136545878e-02,8.371395670354000451e-01,9.061732806707678556e-01,8.412655638904925626e-01
5.622489959839356566e-02,8.453303532755847005e-01,9.045439888445838683e-01,8.350857023403662760e-01
6.024096385542167947e-02,8.514506648499029495e-01,9.033710473973718402e-01,8.292878580839546654e-01
6.425702811244979329e-02,8.580299483046834874e-01,9.024035055903527613e-01,8.238249786348686987e-01
6.827309236947790017e-02,8.627733916822069027e-01,9.018020696050512708e-01,8.186483755831678311e-01
7.228915662650602092e-02,8.681113803803236495e-01,9.013261596381799690e-01,8.137235663923585438e-01
7.630522088353412780e-02,8.718027611894286766e-01,9.011496204840053759e-01,8.090130426437701638e-01
8.032128514056224855e-02,8.761918297842974379e-01,9.010391308051143300e-01,8.044918504175416762e-01
8.433734939759035543e-02,8.790857268595039242e-01,9.011786456700817682e-01,8.001309607736638574e-01
8.835341365461846230e-02,8.827532525261435614e-01,9.013398254633410156e-01,7.959126037909403095e-01
9.236947791164658306e-02,8.850465232719673114e-01,9.017145088471983927e-01,7.918141582479496510e-01
9.638554216867468993e-02,8.881673685037129173e-01,9.020776630158883203e-01,7.878232463613531467e-01
1.004016064257027968e-01,8.900107337112890260e-01,9.026273670290635431e-01,7.839220768628611946e-01
1.044176706827309176e-01,8.927182770423468527e-01,9.031406573717587483e-01,7.801023036858336646e-01
1.084337349397590244e-01,8.942262853167625147e-01,9.038206378759549020e-01,7.763497705877042687e-01
1.124497991967871313e-01,8.966216498203778418e-01,9.044454969044195547e-01,7.726591355399881067e-01
1.164658634538152521e-01,8.978808754033771322e-01,9.052224623367791656e-01,7.690189761109493816e-01
1.204819277108433589e-01,9.000403874681947025e-01,9.059301924952560814e-01,7.654261809949597373e-01
1.244979919678714797e-01,9.011159830721156005e-01,9.067793713613213624e-01,7.618713840082069755e-01
